Ticker,Code,회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역,Theme,Name
우리기술투자,041190,우리기술투자,041190,기타 금융업,창업자에 대한 투자 및 융자,2000-06-09,12월,이정훈,http://www.wooricapital.co.kr,서울특별시,4차산업 수혜주,우리기술투자
에스엠,041510,에스엠,041510,오디오물 출판 및 원판 녹음업,"음반(CD,MC),연예 대리",2000-04-27,12월,장철혁,http://smentertainment.com,서울특별시,엔터테인먼트,에스엠
에코플라스틱,038110,에코플라스틱,038110,자동차 신품 부품 제조업,BUMPER 및 자동차TRIM류,2000-03-23,12월,한상,http://WWW.AP.CO.KR,경상북도,전기차,에코플라스틱
마크로젠,038290,마크로젠,038290,"그외 기타 전문, 과학 및 기술 서비스업","DNA Sequencing, Microarray, Genetically Engineered Mouse",2000-02-22,12월,김창훈,http://www.macrogen.com,서울특별시,U-Healthcare(원격진료),마크로젠
에프에스티,036810,에프에스티,036810,전자부품 제조업,"펠리클(반도체부품), 칠러장비, 반도체유통",2000-01-18,12월,장경빈,http://www.fstc.co.kr,경기도,바이오인식(생체인식),에프에스티
솔브레인홀딩스,036830,솔브레인홀딩스,036830,회사 본부 및 경영 컨설팅 서비스업,"반도체,디스플레이,2차전지 공정용 화학제품",2000-01-18,12월,정현석,http://www.soulbrainholdings.co.kr,경기도,2차전지,솔브레인홀딩스
제일테크노스,038010,제일테크노스,038010,"구조용 금속제품, 탱크 및 증기발생기 제조업",DECK PLATE,2000-01-11,12월,"나주영,최재우",http://www.jeil21c.co.kr,경상북도,원자력발전,제일테크노스
서진오토모티브,122690,서진오토모티브,122690,자동차 신품 부품 제조업,"Clutch,Flywheel,Driveplate,Bearing,ATparts",2010-05-25,12월,고만윤,http://www.secoautomotive.com,경기도,자동차부품,서진오토모티브
EG,037370,EG,037370,기초 화학물질 제조업,"산화철, 대기수처리방지시설, 무역",2000-01-11,12월,박지만,http://www.egcorp.co.kr,전라남도,2차전지(LFP/리튬인산철),EG
네패스,033640,네패스,033640,반도체 제조업,반도체및TFT-LCD용현상액,1999-12-14,12월,이병구,http://www.nepes.co.kr,충청북도,지능형로봇/인공지능(AI),네패스
유니셈,036200,유니셈,036200,특수 목적용 기계 제조업,반도체장비(DryGasScrubber),1999-12-10,12월,"김형균,이양구(각자대표)",http://www.unisem.co.kr,경기도,반도체 장비,유니셈
솔본,035610,솔본,035610,회사 본부 및 경영 컨설팅 서비스업,경영자문 및 지주사업,1999-08-13,12월,홍 기 태,http://www.solborn.co.kr,서울특별시,지주사,솔본
인성정보,033230,인성정보,033230,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",넷트워크 관련 장비 및 솔루션,1999-07-30,12월,"원종윤, 손영삼(각자대표이사)",http://www.insunginfo.co.kr,서울특별시,의료AI,인성정보
동국산업,005160,동국산업,005160,1차 철강 제조업,"철강무역,강판제품제조",1999-06-25,12월,"이원휘, 장세희(각자대표)",http://www.dkis.co.kr,서울특별시,철강 중소형,동국산업
파라텍,033540,파라텍,033540,특수 목적용 기계 제조업,소방기기,1997-12-26,12월,박선기,http://www.paratech.co.kr,충청남도,재난/안전(지진 등),파라텍
제룡전기,033100,제룡전기,033100,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","송배전용금구류,변압기",1997-08-18,12월,박종태,http://www.cheryong.co.kr,서울특별시,전력설비,제룡전기
한국주강,025890,한국주강,025890,특수 목적용 기계 제조업,"주강,주물 제조,도매",1997-07-18,12월,하만규,http://www.hascokorea.co.kr,경상남도,북한 광물자원개발,한국주강
신성이엔지,011930,신성이엔지,011930,반도체 제조업,"태양전지, 태양광모듈 제조 및 판매, 태양광 발전설치공사, 클린룸, 자동화장비",1996-07-31,12월,"이지선, 안윤수",http://www.shinsungeng.com,경기도,LCD장비,신성이엔지
모베이스,101330,모베이스,101330,통신 및 방송 장비 제조업,휴대전화 케이스,2010-02-04,12월,"손병준, 황대환(각자대표)",http://www.mobase.com,경기도,스마트폰,모베이스
